X,Y,Z,THETAX,THETAY,THETAZ,QUATW
0.0104869,4.36574,0,0,0,0.706256,0.707957
0.0188987,7.8624,0,0,0,0.702477,0.711707
0.0711801,11.8674,0,0,0,0.998698,0.0510125
-0.903601,11.9672,0,0,0,-0.710431,0.703767
-0.941572,7.93795,0,0,0,-0.707978,0.706234
-0.950675,4.24661,0,0,0,-0.719184,0.69482
-1.08083,0.470952,0,-0,0,0.998292,-0.0584168
-2.1026,0.350959,0,0,0,0.696371,0.717682
-1.97975,4.4257,0,0,0,0.710257,0.703942
-2.01204,8.04114,0,0,0,0.692969,0.720968
-1.85585,11.9834,0,0,0,0,1
